"date","base"
"1699/01",0
"1699/02",0
"1699/03",0
"1699/04",0
"1699/05",0
"1699/06",0
"1699/07",0
"1699/08",0
"1699/09",6
"1699/10",0
"1699/11",0
"1699/12",0
"1700/01",0
"1700/02",0
"1700/03",0
"1700/04",0
"1700/05",0
"1700/06",0
"1700/07",0
"1700/08",0
"1700/09",0
"1700/10",0
"1700/11",0
"1700/12",0
"1701/01",0
"1701/02",0
"1701/03",0
"1701/04",0
"1701/05",0
"1701/06",0
"1701/07",0
"1701/08",0
"1701/09",0
"1701/10",0
"1701/11",0
"1701/12",0
"1702/01",0
"1702/02",0
"1702/03",0
"1702/04",0
"1702/05",0
"1702/06",0
"1702/07",0
"1702/08",0
"1702/09",0
"1702/10",0
"1702/11",0
"1702/12",0
"1703/01",0
"1703/02",0
"1703/03",0
"1703/04",0
"1703/05",0
"1703/06",0
"1703/07",0
"1703/08",0
"1703/09",0
"1703/10",0
"1703/11",0
"1703/12",0
"1704/01",0
"1704/02",0
"1704/03",0
"1704/04",0
"1704/05",0
"1704/06",0
"1704/07",0
"1704/08",0
"1704/09",0
"1704/10",0
"1704/11",0
"1704/12",0
"1705/01",0
"1705/02",0
"1705/03",0
"1705/04",0
"1705/05",0
"1705/06",0
"1705/07",0
"1705/08",0
"1705/09",0
"1705/10",0
"1705/11",0
"1705/12",0
"1706/01",0
"1706/02",0
"1706/03",0
"1706/04",0
"1706/05",0
"1706/06",0
"1706/07",0
"1706/08",0
"1706/09",0
"1706/10",0
"1706/11",0
"1706/12",0
"1707/01",0
"1707/02",0
"1707/03",0
"1707/04",0
"1707/05",0
"1707/06",0
"1707/07",0
"1707/08",0
"1707/09",0
"1707/10",0
"1707/11",0
"1707/12",0
"1708/01",0
"1708/02",0
"1708/03",0
"1708/04",0
"1708/05",0
"1708/06",0
"1708/07",0
"1708/08",6
"1708/09",3
"1708/10",0
"1708/11",0
"1708/12",0
"1709/01",5
"1709/02",12
"1709/03",0
"1709/04",3
"1709/05",6
"1709/06",7
"1709/07",9
"1709/08",20
"1709/09",23
"1709/10",28
"1709/11",30
"1709/12",18
"1710/01",15
"1710/02",33
"1710/03",16
"1710/04",21
"1710/05",22
"1710/06",28
"1710/07",29
"1710/08",25
"1710/09",22
"1710/10",27
"1710/11",27
"1710/12",18
"1711/01",24
"1711/02",12
"1711/03",25
"1711/04",14
"1711/05",18
"1711/06",22
"1711/07",20
"1711/08",71
"1711/09",59
"1711/10",68
"1711/11",73
"1711/12",94
"1712/01",84
"1712/02",66
"1712/03",90
"1712/04",136
"1712/05",131
"1712/06",119
"1712/07",102
"1712/08",88
"1712/09",126
"1712/10",152
"1712/11",136
"1712/12",161
"1713/01",115
"1713/02",0
"1713/03",0
"1713/04",0
"1713/05",4
"1713/06",0
"1713/07",10
"1713/08",78
"1713/09",113
"1713/10",115
"1713/11",125
"1713/12",92
"1714/01",97
"1714/02",13
"1714/03",0
"1714/04",0
"1714/05",14
"1714/06",0
"1714/07",0
"1714/08",0
"1714/09",24
"1714/10",34
"1714/11",0
"1714/12",0
"1715/01",46
"1715/02",20
"1715/03",21
"1715/04",13
"1715/05",10
"1715/06",28
"1715/07",12
"1715/08",0
"1715/09",0
