"ark","titre"
"bpt6k1047858d","
Assiette au beurre (L')"
"cb327095759","
Baïonnette (La)"
"cb32737062q","
Candide"
"cb32743309b","
Clartés : l'hebdomadaire de combat pour la résistance et la démocratie"
"cb343485686","
Elle"
"cb32774118m","
Femmes Françaises"
"cb32776014f","
Floréal"
"cb327828335","
Globe (Le)"
"cb32785285g","
Guignol (le) "
"cb32791928t","
Information universitaire (L')"
"cb34348821c","
Lettres Françaises (Les)"
"cb32810629m","
Magasin pittoresque (Le) "
"cb328116004","
Marianne. "
"cb343488519","
Marie-Claire"
"cb32812178x","
Match l'intran"
"cb34419118b","
Miroir (Le)"
"cb32818161n","
Monde"
"cb32818319d","
Monde illustré (le)"
"cb328281130","
Oeil de la police (l')"
"cb32832025g","
Parallèle 50 : Paris, Bruxelles, Berne, Prague, Bratislava"
"cb344373253","
Point de vue"
"cb34447681m","
Regards"
"cb32862558f","
Rolet. Hebdomadaire indépendant."
"bpt6k1522137x","
Rue (La. Directeur : Jules Vallès)"
"cb34426598d","
Union nationale des femmes"
"cb328865684","
V magazine illustré du MLN"
